Procedure Description,Patient Class (Inpatient/Outpatient),Code,Quantity,Rev Code,Gross Charge,Discounted Cash Price (Uninsured Discount 35%),Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,Derived Negotiated Rate Estimate Min.1,Derived Negotiated Rate Estimate Max.1,Derived Negotiated Rate Estimate Min.2,Derived Negotiated Rate Estimate Max.2,HCPCS,HCPCS description
Hc Bx Breast W Device Us Guidance 1st Les,Outpatient,CPT® 19083,1,0361 - MINOR SURGERY,2894.0,1881.1000000000001,2390.44,2665.37,463.04,549.86,1411.48,1411.48,19083,Bx breast 1st lesion us imag
Hc Bx Breast W Device Us Guidance Addl Les,Outpatient,CPT® 19084,1,0361 - MINOR SURGERY,656.0,426.40000000000003,541.86,604.18,104.96000000000001,124.64,,,19084,Bx breast add lesion us imag
Hc Bx Breast W Device Mr Guidance 1st Les,Outpatient,CPT® 19085,1,0361 - MINOR SURGERY,2156.0,1401.4,1780.86,1985.68,344.96,409.64,1411.48,1411.48,19085,Bx breast 1st lesion mr imag
Hc Bx Breast W Device Mr Guidance Addl Les,Outpatient,CPT® 19086,1,0361 - MINOR SURGERY,656.0,426.40000000000003,541.86,604.18,104.96000000000001,124.64,,,19086,Bx breast add lesion mr imag
Hc Breast Bx Percutaneous Wo Guidance,Outpatient,CPT® 19100,1,0510 - CLINIC,485.0,315.25,400.61,446.69,77.60000000000001,92.15,,,19100,Bx breast percut w/o image
Hc Plc Breast Lcl Device W Mammo Guid 1st Les,Outpatient,CPT® 19281,1,0361 - MINOR SURGERY,312.0,202.8,257.71,287.35,49.92,59.28,623.95,623.95,19281,Perq device breast 1st imag
Hc Plc Breast Lcl Device W Mammo Guid Addl Les,Outpatient,CPT® 19282,1,0361 - MINOR SURGERY,312.0,202.8,257.71,287.35,49.92,59.28,,,19282,Perq device breast ea imag
Hc Plc Breast Lcl Device Stereotactic 1st Les,Outpatient,CPT® 19283,1,0361 - MINOR SURGERY,312.0,202.8,257.71,287.35,49.92,59.28,,,19283,Perq dev breast 1st strtctc
Hc Plc Breast Lcl Device Stereotactic Addl Les,Outpatient,CPT® 19284,1,0361 - MINOR SURGERY,312.0,202.8,257.71,287.35,49.92,59.28,,,19284,Perq dev breast add strtctc
Hc Plc Breast Lcl Device Us Guidance 1st Les,Outpatient,CPT® 19285,1,0361 - MINOR SURGERY,312.0,202.8,257.71,287.35,49.92,59.28,623.95,623.95,19285,Perq dev breast 1st us imag
Hc Plc Breast Lcl Device Us Guidance Addl Les,Outpatient,CPT® 19286,1,0361 - MINOR SURGERY,312.0,202.8,257.71,287.35,49.92,59.28,,,19286,Perq dev breast add us imag
Hc Exploration Penetrating Wnd Extremity,Outpatient,CPT® 20103,1,0450 - EMERGENCY ROOM,505.0,328.25,417.13,465.11,80.8,95.95,623.95,623.95,20103,Explore wound extremity
Hc Biopsy Muscle Percutaneous,Outpatient,CPT® 20206,1,0361 - MINOR SURGERY,3131.0,2035.15,2586.21,2883.65,500.96000000000004,594.89,1411.48,1411.48,20206,Needle biopsy muscle
Hc Biopsy Bone Superficial,Outpatient,CPT® 20220,1,0361 - MINOR SURGERY,3131.0,2035.15,2586.21,2883.65,500.96000000000004,594.89,1411.48,1411.48,20220,Bone biopsy trocar/needle
Hc Biopsy Bone Deep,Outpatient,CPT® 20225,1,0361 - MINOR SURGERY,2481.0,1612.65,2049.31,2285.0,396.96000000000004,471.39,1411.48,1411.48,20225,Bone biopsy trocar/needle
Hc Bone Biopsy Open Superficial,Outpatient,CPT® 20240,1,0361 - MINOR SURGERY,1699.0,1104.3500000000001,1403.37,1564.78,271.84000000000003,322.81,,,20240,Bone biopsy open superficial
Hc Injection Sinus Tract Tx,Outpatient,CPT® 20500,1,0361 - MINOR SURGERY,1132.0,735.8000000000001,935.03,1042.57,181.12,215.08,,,20500,Injection of sinus tract
Hc Injection Sinus Tract Dx,Outpatient,CPT® 20501,1,0361 - MINOR SURGERY,2301.0,1495.65,1900.63,2119.22,368.16,437.19,,,20501,Inject sinus tract for x-ray
Hc Rem Fb Muscle Or Tendon Sheath Simple,Outpatient,CPT® 20520,1,0361 - MINOR SURGERY,1606.0,1043.9,1326.56,1479.13,256.96,305.14,,,20520,Removal of foreign body
Hc Rem Fb Muscle Or Tendon Sheath Complex,Outpatient,CPT® 20525,1,0450 - EMERGENCY ROOM,1988.0,1292.2,1642.09,1830.95,318.08,377.72,,,20525,Removal of foreign body
Hc Injection Carpal Tunnel,Outpatient,CPT® 20526,1,0361 - MINOR SURGERY,542.0,352.3,447.69,499.18,86.72,102.98,,,20526,Ther injection carp tunnel
Hc Inj Single Tendon Sheath Or Ligament,Outpatient,CPT® 20550,1,0361 - MINOR SURGERY,1778.0,1155.7,1468.63,1637.54,284.48,337.82,262.0,262.0,20550,Inj tendon sheath/ligament
Hc Tendon Origin Insertion,Outpatient,CPT® 20551,1,0361 - MINOR SURGERY,2047.0,1330.55,1690.82,1885.29,327.52,388.93,,,20551,Inj tendon origin/insertion
Hc Inj Trigger Point 1 Or 2 Muscles,Outpatient,CPT® 20552,1,0361 - MINOR SURGERY,1491.0,969.15,1231.57,1373.21,238.56,283.29,262.0,262.0,20552,Inj trigger point 1/2 muscl
Hc Inj Trigger Point 3 Or More Muscles,Outpatient,CPT® 20553,1,0361 - MINOR SURGERY,1491.0,969.15,1231.57,1373.21,238.56,283.29,262.0,262.0,20553,Inject trigger points 3/>
Hc Needle Insertion Without Injection 1 Or 2 Muscles,Outpatient,CPT® 20560,1,0420 - PHYSICAL THERAPY,24.0,15.600000000000001,19.82,22.1,3.84,4.5600000000000005,24.75,24.75,20560,Ndl insj w/o njx 1 or 2 musc
Hc Needle Insertion Without Injection 3 Or More Muscles,Outpatient,CPT® 20561,1,0420 - PHYSICAL THERAPY,24.0,15.600000000000001,19.82,22.1,3.84,4.5600000000000005,24.75,24.75,20561,Ndl insj w/o njx 3+ musc
Hc Asp Or Inj Joint Small,Outpatient,CPT® 20600,1,0361 - MINOR SURGERY,1029.0,668.85,849.95,947.71,164.64000000000001,195.51,262.0,262.0,20600,Drain/inj joint/bursa w/o us
Hc Asp Or Inj Joint Small W Us Guidance,Outpatient,CPT® 20604,1,0361 - MINOR SURGERY,2008.0,1305.2,1658.61,1849.37,321.28000000000003,381.52,,,20604,Drain/inj joint/bursa w/us
Hc Asp Or Inj Joint Intermediate,Outpatient,CPT® 20605,1,0361 - MINOR SURGERY,1029.0,668.85,849.95,947.71,164.64000000000001,195.51,262.0,262.0,20605,Drain/inj joint/bursa w/o us
Hc Asp Or Inj Joint Intermediate W Us Guidance,Outpatient,CPT® 20606,1,0361 - MINOR SURGERY,2008.0,1305.2,1658.61,1849.37,321.28000000000003,381.52,,,20606,Drain/inj joint/bursa w/us
Hc Asp Or Inj Joint Large,Outpatient,CPT® 20610,1,0361 - MINOR SURGERY,1777.0,1155.05,1467.8,1636.62,284.32,337.63,262.0,262.0,20610,Drain/inj joint/bursa w/o us
Hc Asp Or Inj Joint Large W Us Guidance,Outpatient,CPT® 20611,1,0361 - MINOR SURGERY,2755.0,1790.75,2275.63,2537.36,440.8,523.45,262.0,262.0,20611,Drain/inj joint/bursa w/us
Hc Asp Or Inj Ganglion Cyst,Outpatient,CPT® 20612,1,0361 - MINOR SURGERY,881.0,572.65,727.71,811.4,140.96,167.39000000000001,262.0,262.0,20612,Aspirate/inj ganglion cyst
Hc Aspiration And Injection Bone Cyst,Outpatient,CPT® 20615,1,0361 - MINOR SURGERY,701.0,455.65000000000003,579.03,645.62,112.16,133.19,623.95,623.95,20615,Treatment of bone cyst
Hc Removal Implant Superficial,Outpatient,CPT® 20670,1,0361 - MINOR SURGERY,5735.0,3727.75,4737.11,5281.94,917.6,1089.65,,,20670,Removal of support implant
Hc Ct Guided Rf Ablation Bone Tumor,Outpatient,CPT® 20982,1,0361 - MINOR SURGERY,5173.0,3362.4500000000003,4272.9,4764.33,827.6800000000001,982.87,,,20982,Ablate bone tumor(s) perq
Hc Cryoablation Bone Tumor W Imaging,Outpatient,CPT® 20983,1,0361 - MINOR SURGERY,2802.0,1821.3,2314.45,2580.64,448.32,532.38,,,20983,Ablate bone tumor(s) perq
Hc Biopsy Soft Tissue Neck Or Thorax,Outpatient,CPT® 21550,1,0361 - MINOR SURGERY,1886.0,1225.9,1557.84,1737.01,301.76,358.34000000000003,1411.48,1411.48,21550,Biopsy of neck/chest
Hc Biopsy Soft Tissue Back Or Flank Sup,Outpatient,CPT® 21920,1,0361 - MINOR SURGERY,2680.0,1742.0,2213.68,2468.28,428.8,509.2,,,21920,Biopsy soft tissue of back
Hc Biopsy Soft Tissue Back Or Flank Deep,Outpatient,CPT® 21925,1,0361 - MINOR SURGERY,2680.0,1742.0,2213.68,2468.28,428.8,509.2,,,21925,Biopsy soft tissue of back
Hc Vertebroplasty Thoracic Percutaneous W Img,Outpatient,CPT® 22510,1,0361 - MINOR SURGERY,11871.0,7716.150000000001,9805.45,10933.19,1899.3600000000001,2255.4900000000002,2839.41,2839.41,22510,Perq cervicothoracic inject
Hc Vertebroplasty Lumbar Percutaneous W Img,Outpatient,CPT® 22511,1,0361 - MINOR SURGERY,11848.0,7701.2,9786.45,10912.01,1895.68,2251.12,2839.41,2839.41,22511,Perq lumbosacral injection
Hc Vertebroplasty Ea Addl Thor Or Lumb W Img,Outpatient,CPT® 22512,1,0361 - MINOR SURGERY,7984.0,5189.6,6594.78,7353.26,1277.44,1516.96,,,22512,Vertebroplasty addl inject
Hc Kyphoplasty Thoracic W Img,Outpatient,CPT® 22513,1,0361 - MINOR SURGERY,14096.0,9162.4,11643.3,12982.42,2255.36,2678.2400000000002,6284.9,6284.9,22513,Perq vertebral augmentation
Hc Kyphoplasty Lumbar W Img,Outpatient,CPT® 22514,1,0361 - MINOR SURGERY,13233.0,8601.45,10930.46,12187.59,2117.28,2514.27,6284.9,6284.9,22514,Perq vertebral augmentation
Hc Kyphoplasty Ea Addl Thor Or Lumb W Img,Outpatient,CPT® 22515,1,0361 - MINOR SURGERY,9152.0,5948.8,7559.55,8428.99,1464.32,1738.88,,,22515,Perq vertebral augmentation
INSJ STABLJ DEVICE W DCMP 1LV,Outpatient,CPT® 22867,1,0361 - MINOR SURGERY,36783.0,23908.95,30382.76,33877.14,5885.28,6988.77,,,22867,Insj stablj dev w/dcmprn
INSJ STABLJ DEVICE W DCMP 2LV,Outpatient,CPT® 22868,1,0361 - MINOR SURGERY,18392.0,11954.800000000001,15191.79,16939.03,2942.7200000000003,3494.48,,,22868,Insj stablj dev w/dcmprn
INSJ STABLJ DEVICE WO DCMP 2LV,Outpatient,CPT® 22870,1,0361 - MINOR SURGERY,18392.0,11954.800000000001,15191.79,16939.03,2942.7200000000003,3494.48,,,22870,Insj stablj dev w/o dcmprn
Hc Unlisted Procedure Spine,Outpatient,CPT® 22899,1,0361 - MINOR SURGERY,5854.0,3805.1,4835.4,5391.53,936.64,1112.26,,,22899,Spine surgery procedure
Hc Biopsy Soft Tissue Shoulder Sup,Outpatient,CPT® 23065,1,0361 - MINOR SURGERY,2680.0,1742.0,2213.68,2468.28,428.8,509.2,,,23065,Biopsy shoulder tissues
Hc Inj Arthrography Shoulder,Outpatient,CPT® 23350,1,0361 - MINOR SURGERY,1002.0,651.3000000000001,827.65,922.84,160.32,190.38,,,23350,Injection for shoulder x-ray
Hc Tenotomy Shoulder,Outpatient,CPT® 23405,1,0361 - MINOR SURGERY,5341.0,3471.65,4411.67,4919.06,854.5600000000001,1014.79,6284.9,6284.9,23405,Incision of tendon & muscle
Hc Bx Soft Tissue Upper Arm Or Elbow Sup,Outpatient,CPT® 24065,1,0361 - MINOR SURGERY,1699.0,1104.3500000000001,1403.37,1564.78,271.84000000000003,322.81,,,24065,Biopsy arm/elbow soft tissue
Hc Bx Soft Tissue Upper Arm Or Elbow Deep,Outpatient,CPT® 24066,1,0361 - MINOR SURGERY,1699.0,1104.3500000000001,1403.37,1564.78,271.84000000000003,322.81,,,24066,Biopsy arm/elbow soft tissue
Hc Inj Arthrography Elbow,Outpatient,CPT® 24220,1,0361 - MINOR SURGERY,1129.0,733.85,932.55,1039.81,180.64000000000001,214.51,,,24220,Injection for elbow x-ray
Hc Tenotomy Percutaneous Elbow,Outpatient,CPT® 24357,1,0361 - MINOR SURGERY,2006.0,1303.9,1656.96,1847.53,320.96,381.14,2839.41,2839.41,24357,Repair elbow perc
Hc Inj Arthrography Wrist,Outpatient,CPT® 25246,1,0361 - MINOR SURGERY,710.0,461.5,586.46,653.91,113.60000000000001,134.9,,,25246,Injection for wrist x-ray
Hc Drain Finger Abcess Simple,Outpatient,CPT® 26010,1,0450 - EMERGENCY ROOM,835.0,542.75,689.71,769.04,133.6,158.65,180.12,180.12,26010,Drainage of finger abscess
DRAINAGE OF COMPLICATED FINGER ABSCESS,Outpatient,CPT® 26011,1,0450 - EMERGENCY ROOM,1549.0,1006.85,1279.47,1426.63,247.84,294.31,,,26011,Drainage of finger abscess
Hc Repair Hand Tendon Or Flexor,Outpatient,CPT® 26418,1,0361 - MINOR SURGERY,1112.0,722.8000000000001,918.51,1024.15,177.92000000000002,211.28,,,26418,Repair finger tendon
Hc Closed Tx Metacarpal W Manip,Outpatient,CPT® 26605,1,0361 - MINOR SURGERY,2402.0,1561.3,1984.05,2212.24,384.32,456.38,,,26605,Treat metacarpal fracture
Hc Perc Fixation Finger Or Thumb Each,Outpatient,CPT® 26756,1,0361 - MINOR SURGERY,1636.0,1063.4,1351.34,1506.76,261.76,310.84000000000003,,,26756,Pin finger fracture each
Hc Amputation Finger Or Thumb,Outpatient,CPT® 26951,1,0361 - MINOR SURGERY,1120.0,728.0,925.12,1031.52,179.20000000000002,212.8,,,26951,Amputation of finger/thumb
"TENOTOMY, ABDUCTOR OF HIP, PERCUTANEOUS",Outpatient,CPT® 27000,1,0510 - CLINIC,1911.0,1242.15,1578.49,1760.03,305.76,363.09000000000003,1396.78,1396.78,27000,Incision of hip tendon
Hc Biopsy Pelvis Or Hip Soft Tissue Superficial,Outpatient,CPT® 27040,1,0361 - MINOR SURGERY,1886.0,1225.9,1557.84,1737.01,301.76,358.34000000000003,1411.48,1411.48,27040,Biopsy of soft tissues
Hc Biopsy Pelvis Or Hip Soft Tissue Deep,Outpatient,CPT® 27041,1,0361 - MINOR SURGERY,1886.0,1225.9,1557.84,1737.01,301.76,358.34000000000003,,,27041,Biopsy of soft tissues
Hc Inj Arthrography Hip Wo Anes,Outpatient,CPT® 27093,1,0361 - MINOR SURGERY,3131.0,2035.15,2586.21,2883.65,500.96000000000004,594.89,,,27093,Injection for hip x-ray
Hc Athrodesis Sacroiliac Joint W Img Guidance,Outpatient,CPT® 27279,1,0361 - MINOR SURGERY,29707.0,19309.55,24537.98,27360.15,4753.12,5644.33,,,27279,Arthrodesis sacroiliac joint
Hc Cementoplasty Of Acetabulum,Outpatient,CPT® 27299,1,0361 - MINOR SURGERY,2105.0,1368.25,1738.73,1938.71,336.8,399.95,,,27299,Pelvis/hip joint surgery
TENOTOMY PERC THIGH TENDON/ADCTR/HAMSTRNG SGL,Outpatient,CPT® 27306,1,0510 - CLINIC,2105.0,1368.25,1738.73,1938.71,336.8,399.95,2839.41,2839.41,27306,Incision of thigh tendon
TENOTOMY PERC THIGH TENDON/ADCTR/HAMSTRNG MULT,Outpatient,CPT® 27307,1,0510 - CLINIC,2105.0,1368.25,1738.73,1938.71,336.8,399.95,2839.41,2839.41,27307,Incision of thigh tendons
Hc Biopsy Soft Tissue Knee,Outpatient,CPT® 27323,1,0361 - MINOR SURGERY,2680.0,1742.0,2213.68,2468.28,428.8,509.2,,,27323,Biopsy thigh soft tissues
Hc Injection For Contrast Knee Arthrography,Outpatient,CPT® 27369,1,0361 - MINOR SURGERY,2185.0,1420.25,1804.81,2012.39,349.6,415.15,,,27369,Njx cntrst kne arthg/ct/mri
Hc Unlist Procd Femur Knee,Outpatient,CPT® 27599,1,0361 - MINOR SURGERY,2105.0,1368.25,1738.73,1938.71,336.8,399.95,,,27599,Leg surgery procedure
Hc Tenotomy Perc Achilles Local Anes,Outpatient,CPT® 27605,1,0361 - MINOR SURGERY,1911.0,1242.15,1578.49,1760.03,305.76,363.09000000000003,1396.78,1396.78,27605,Incision of achilles tendon
Hc Biopsy Soft Tissue Lower Extremity,Outpatient,CPT® 27613,1,0361 - MINOR SURGERY,3009.0,1955.8500000000001,2485.43,2771.29,481.44,571.71,,,27613,Biopsy lower leg soft tissue
Hc Inj Arthrography Ankle,Outpatient,CPT® 27648,1,0361 - MINOR SURGERY,706.0,458.90000000000003,583.16,650.23,112.96000000000001,134.14000000000001,,,27648,Injection for ankle x-ray
Hc I And D Foot Single Bursa Space,Outpatient,CPT® 28002,1,0761 - TREATMENT ROOM,1112.0,722.8000000000001,918.51,1024.15,177.92000000000002,211.28,,,28002,Treatment of foot infection
Hc Fasciotomy Foot Toe,Outpatient,CPT® 28008,1,0510 - CLINIC,2105.0,1368.25,1738.73,1938.71,336.8,399.95,2839.41,2839.41,28008,Incision of foot fascia
Hc Tenotomy Percutaneous Single Toe,Outpatient,CPT® 28010,1,0361 - MINOR SURGERY,1242.0,807.3000000000001,1025.89,1143.88,198.72,235.98,1396.78,1396.78,28010,Incision of toe tendon
PARTIAL EXCISION OF PHALANX TOE BONE,Outpatient,CPT® 28124,1,0510 - CLINIC,1120.0,728.0,925.12,1031.52,179.20000000000002,212.8,,,28124,Partial removal of toe
Hc Metatarsectomy,Outpatient,CPT® 28140,1,0361 - MINOR SURGERY,1120.0,728.0,925.12,1031.52,179.20000000000002,212.8,,,28140,Removal of metatarsal
Hc Removal Foreign Body Foot Subq,Outpatient,CPT® 28190,1,0361 - MINOR SURGERY,376.0,244.4,310.58,346.3,60.160000000000004,71.44,,,28190,Removal of foot foreign body
Hc Tenotomy Open Foot Tendon Sgl Or Mult,Outpatient,CPT® 28230,1,0361 - MINOR SURGERY,1441.0,936.65,1190.27,1327.16,230.56,273.79,1396.78,1396.78,28230,Incision of foot tendon(s)
OPEN TENOTOMY OF FLEXOR TENDON TOE SINGLE,Outpatient,CPT® 28232,1,0510 - CLINIC,1441.0,936.65,1190.27,1327.16,230.56,273.79,1396.78,1396.78,28232,Incision of toe tendon
Hc  Amputation Of Toe; M J,Outpatient,CPT® 28820,1,0510 - CLINIC,1120.0,728.0,925.12,1031.52,179.20000000000002,212.8,,,28820,Amputation of toe
Hc Amputation Toe Interphalangeal Joint,Outpatient,CPT® 28825,1,0361 - MINOR SURGERY,1120.0,728.0,925.12,1031.52,179.20000000000002,212.8,,,28825,Partial amputation of toe
Hc Application Cast Long Arm,Outpatient,CPT® 29065,1,0430 - OCCUPATIONAL THERAPY,149.0,96.85000000000001,123.07,137.23,23.84,28.31,,,29065,Application of long arm cast
Hc Application Cast Short Arm,Outpatient,CPT® 29075,1,0430 - OCCUPATIONAL THERAPY,149.0,96.85000000000001,123.07,137.23,23.84,28.31,,,29075,Application of forearm cast
Hc Application Cast Hand Or Wrist,Outpatient,CPT® 29085,1,0430 - OCCUPATIONAL THERAPY,179.0,116.35000000000001,147.85,164.86,28.64,34.01,141.63,141.63,29085,Apply hand/wrist cast
Hc Application Cast Finger,Outpatient,CPT® 29086,1,0430 - OCCUPATIONAL THERAPY,90.0,58.5,74.34,82.89,14.4,17.1,141.63,141.63,29086,Apply finger cast
Hc Application Finger Splint,Outpatient,CPT® 29130,1,0450 - EMERGENCY ROOM,274.0,178.1,226.32,252.35,43.84,52.06,,,29130,Application of finger splint
Hc Application Short Leg Cast,Outpatient,CPT® 29405,1,0420 - PHYSICAL THERAPY,508.0,330.2,419.61,467.87,81.28,96.52,,,29405,Apply short leg cast
Hc Application Short Leg Cast Walking,Outpatient,CPT® 29425,1,0420 - PHYSICAL THERAPY,495.0,321.75,408.87,455.9,79.2,94.05,,,29425,Apply short leg cast
Hc Appl Rigid Total Cont Leg Cast,Outpatient,CPT® 29445,1,0510 - CLINIC,1013.0,658.45,836.74,932.97,162.08,192.47,241.94,241.94,29445,Apply rigid leg cast
Hc Strapping Lower Extremity,Outpatient,CPT® 29540,1,0510 - CLINIC,613.0,398.45,506.34,564.57,98.08,116.47,,,29540,Strapping of ankle and/or ft
Hc Strapping Unna Boot,Outpatient,CPT® 29580,1,0510 - CLINIC,945.0,614.25,780.57,870.35,151.20000000000002,179.55,141.63,141.63,29580,Application of paste boot
Hc Applic Multi Layer Comp Sys Below Knee,Outpatient,CPT® 29581,1,0510 - CLINIC,526.0,341.90000000000003,434.48,484.45,84.16,99.94,141.63,141.63,29581,Apply multlay comprs lwr leg
Hc Cast Removal,Outpatient,CPT® 29705,1,0510 - CLINIC,1406.0,913.9,1161.36,1294.93,224.96,267.14,241.94,241.94,29705,Removal/revision of cast
Hc Removal Foreign Body Nasal,Outpatient,CPT® 30300,1,0450 - EMERGENCY ROOM,272.0,176.8,224.67,250.51,43.52,51.68,112.31,112.31,30300,Remove nasal foreign body
Hc Control Nosebleed Simple,Outpatient,CPT® 30901,1,0450 - EMERGENCY ROOM,510.0,331.5,421.26,469.71,81.60000000000001,96.9,112.31,112.31,30901,Control of nosebleed
Hc Control Nosebleed Complex,Outpatient,CPT® 30903,1,0450 - EMERGENCY ROOM,739.0,480.35,610.41,680.62,118.24000000000001,140.41,112.31,112.31,30903,Control of nosebleed
Hc Endoscopy Nasal,Outpatient,CPT® 31231,1,0510 - CLINIC,662.0,430.3,546.81,609.7,105.92,125.78,164.91,164.91,31231,Nasal endoscopy dx
Hc Nasal Endoscopy With Maxillary Sinusoscopy,Outpatient,CPT® 31233,1,0510 - CLINIC,1595.0,1036.75,1317.47,1469.0,255.20000000000002,303.05,377.71,377.71,31233,Nsl/sins ndsc dx max sinusc
Hc Intubation Endotracheal,Outpatient,CPT® 31500,1,0450 - EMERGENCY ROOM,780.0,507.0,644.28,718.38,124.8,148.2,212.27,212.27,31500,Insert emergency airway
Hc Laryngscpy Indirect Diagnos,Outpatient,CPT® 31505,1,0450 - EMERGENCY ROOM,668.0,434.2,551.77,615.23,106.88,126.92,,,31505,Diagnostic laryngoscopy
Hc Laryngoscopy Fiberoptic,Outpatient,CPT® 31575,1,0361 - MINOR SURGERY,651.0,423.15000000000003,537.73,599.57,104.16,123.69,164.91,164.91,31575,Diagnostic laryngoscopy
Hc St Laryngoscopy With Stroboscopy,Outpatient,CPT® 31579,1,0361 - MINOR SURGERY,1595.0,1036.75,1317.47,1469.0,255.20000000000002,303.05,377.71,377.71,31579,Laryngoscopy telescopic
Hc Tracheostomy Planned,Outpatient,CPT® 31600,1,0361 - MINOR SURGERY,1603.0,1041.95,1324.08,1476.36,256.48,304.57,2745.1,2745.1,31600,Incision of windpipe
Hc Trach Emer Proc Tran Strac,Outpatient,CPT® 31603,1,0450 - EMERGENCY ROOM,1304.0,847.6,1077.1,1200.98,208.64000000000001,247.76,,,31603,Incision of windpipe
Hc Tracheotomy Cricothyroidotomy,Outpatient,CPT® 31605,1,0450 - EMERGENCY ROOM,1650.0,1072.5,1362.9,1519.65,264.0,313.5,,,31605,Incision of windpipe
Hc Bronchoscopy Through Tracheostomy,Outpatient,CPT® 31615,1,0361 - MINOR SURGERY,3608.0,2345.2000000000003,2980.21,3322.97,577.28,685.52,,,31615,Visualization of windpipe
Hc Bronchoscopy,Outpatient,CPT® 31622,1,0361 - MINOR SURGERY,3414.0,2219.1,2819.96,3144.29,546.24,648.66,1501.15,1501.15,31622,Dx bronchoscope/wash
Hc Bronchoscopy With Brushing,Outpatient,CPT® 31623,1,0361 - MINOR SURGERY,4869.0,3164.85,4021.79,4484.35,779.04,925.11,1501.15,1501.15,31623,Dx bronchoscope/brush
Hc Bronchoscopy W Alveolar Lavage,Outpatient,CPT® 31624,1,0361 - MINOR SURGERY,3773.0,2452.4500000000003,3116.5,3474.93,603.6800000000001,716.87,1501.15,1501.15,31624,Dx bronchoscope/lavage
Hc Bronchoscopy W Biopsy,Outpatient,CPT® 31625,1,0361 - MINOR SURGERY,4396.0,2857.4,3631.1,4048.72,703.36,835.24,1501.15,1501.15,31625,Bronchoscopy w/biopsy(s)
Hc Bronchoscopy W Insert Fiducial Markers,Outpatient,CPT® 31626,1,0361 - MINOR SURGERY,5291.0,3439.15,4370.37,4873.01,846.5600000000001,1005.29,5841.3,5841.3,31626,Bronchoscopy w/markers
Hc Bronchoscopy W Computer Assist Nav,Outpatient,CPT® 31627,1,0361 - MINOR SURGERY,5291.0,3439.15,4370.37,4873.01,846.5600000000001,1005.29,,,31627,Navigational bronchoscopy
Hc Bronchoscopy W Transbronch Lung Bx,Outpatient,CPT® 31628,1,0361 - MINOR SURGERY,2246.0,1459.9,1855.2,2068.57,359.36,426.74,3107.88,3107.88,31628,Bronchoscopy/lung bx each
Hc Bronchoscopy W Transbronch Needle Asp,Outpatient,CPT® 31629,1,0361 - MINOR SURGERY,3594.0,2336.1,2968.64,3310.07,575.04,682.86,3107.88,3107.88,31629,Bronchoscopy/needle bx each
Hc Bronchoscopy W Dilation Or Fx Repair,Outpatient,CPT® 31630,1,0361 - MINOR SURGERY,6893.0,4480.45,5693.62,6348.45,1102.88,1309.67,3107.88,3107.88,31630,Bronchoscopy dilate/fx repr
Hc Bronchoscopy W Insert Trachial Stent,Outpatient,CPT® 31631,1,0361 - MINOR SURGERY,5550.0,3607.5,4584.3,5111.55,888.0,1054.5,5841.3,5841.3,31631,Bronchoscopy dilate w/stent
Hc Bronchoscopy W Lung Biopsy Ea Addl Lobe,Outpatient,CPT® 31632,1,0361 - MINOR SURGERY,2288.0,1487.2,1889.89,2107.25,366.08,434.72,,,31632,Bronchoscopy/lung bx addl
Hc Bronchoscopy W Needle Bx Ea Addl Lobe,Outpatient,CPT® 31633,1,0361 - MINOR SURGERY,3788.0,2462.2000000000003,3128.89,3488.75,606.08,719.72,,,31633,Bronchoscopy/needle bx addl
Hc Bronchoscopy W Removal Foreign Body,Outpatient,CPT® 31635,1,0361 - MINOR SURGERY,5148.0,3346.2000000000003,4252.25,4741.31,823.6800000000001,978.12,1501.15,1501.15,31635,Bronchoscopy w/fb removal
Hc Bronchoscopy W Insert Bronchial Stent,Outpatient,CPT® 31636,1,0361 - MINOR SURGERY,4357.0,2832.05,3598.88,4012.8,697.12,827.83,5841.3,5841.3,31636,Bronchoscopy bronch stents
Hc Bronchoscopy  W Stent Ea Addl,Outpatient,CPT® 31637,1,0361 - MINOR SURGERY,949.0,616.85,783.87,874.03,151.84,180.31,,,31637,Bronchoscopy stent add-on
Hc Bronchoscopy W Stent Revision,Outpatient,CPT® 31638,1,0361 - MINOR SURGERY,3209.0,2085.85,2650.63,2955.49,513.44,609.71,,,31638,Bronchoscopy revise stent
Hc Bronchoscopy W Excision Of Tumor,Outpatient,CPT® 31640,1,0361 - MINOR SURGERY,2006.0,1303.9,1656.96,1847.53,320.96,381.14,,,31640,Bronchoscopy w/tumor excise
Hc Bronchoscopy W Destruction Of Tumor,Outpatient,CPT® 31641,1,0361 - MINOR SURGERY,3485.0,2265.25,2878.61,3209.69,557.6,662.15,3107.88,3107.88,31641,Bronchoscopy treat blockage
Hc Bronchoscopy W Plcmnt Radiation Cath,Outpatient,CPT® 31643,1,0361 - MINOR SURGERY,3964.0,2576.6,3274.26,3650.84,634.24,753.16,,,31643,Diag bronchoscope/catheter
